user_id,name,email,city,signup_date
1,User_1,user1@mail.com,Quetta,2023-02-27
2,User_2,user2@mail.com,Karachi,2024-01-15
3,User_3,user3@mail.com,Islamabad,2023-05-06
4,User_4,user4@mail.com,Lahore,2023-03-13
5,User_5,user5@mail.com,Quetta,2023-02-22
6,User_6,user6@mail.com,Quetta,2024-01-15
7,,user7@mail.com,Rawalpindi,2023-02-14
8,User_8,user8@mail.com,Rawalpindi,2023-08-05
9,User_9,user9@mail.com,Karachi,2023-01-16
9,User_10,user10@mail.com,Karachi,2023-04-22
11,User_11,user11@mail.com,Lahore,2023-09-16
12,User_12,user12@mail.com,Rawalpindi,2023-01-14
13,User_13,user13@mail.com,Rawalpindi,2023-04-12
14,User_14,user14@mail.com,Quetta,2023-11-29
15,User_15,,Quetta,2023-10-07
16,User_16,user16@mail.com,Peshawar,2023-04-23
17,User_17,user17@mail.com,Peshawar,2023-10-29
18,User_18,user18@mail.com,Islamabad,2024-02-19
19,User_19,user19@mail.com,Karachi,2024-01-24
20,User_20,user20@mail.com,Lahore,2023-12-24
21,User_21,user21@mail.com,Peshawar,2023-06-24
22,,user22@mail.com,Islamabad,2023-03-21
23,User_23,user23@mail.com,Lahore,2024-05-05
24,User_24,user24@mail.com,Islamabad,2023-02-22
25,User_25,user25@mail.com,Karachi,2023-07-14
26,User_26,user26@mail.com,Karachi,2023-07-03
27,User_27,user27@mail.com,Islamabad,2023-11-06
28,User_28,user28@mail.com,Islamabad,2024-02-18
29,User_29,user29@mail.com,Karachi,2024-01-09
30,User_30,,Peshawar,2023-10-02
31,User_31,user31@mail.com,Karachi,2024-05-13
32,User_32,user32@mail.com,Peshawar,2023-02-10
33,User_33,user33@mail.com,Rawalpindi,2023-05-31
34,User_34,user34@mail.com,Quetta,2023-11-13
35,User_35,user35@mail.com,Islamabad,2023-10-23
36,User_36,user36@mail.com,Lahore,2023-12-27
37,User_37,user37@mail.com,Karachi,2023-01-24
38,User_38,user38@mail.com,Quetta,2023-04-27
39,User_39,user39@mail.com,Islamabad,2023-02-10
40,User_40,user40@mail.com,Lahore,2024-03-19
41,User_41,user41@mail.com,Karachi,2023-07-14
42,User_42,user42@mail.com,Islamabad,2023-08-21
43,User_43,user43@mail.com,Quetta,2024-03-03
44,User_44,user44@mail.com,Islamabad,2023-03-25
45,User_45,user45@mail.com,Islamabad,2023-07-01
46,User_46,user46@mail.com,Lahore,2023-12-10
47,User_47,user47@mail.com,Islamabad,2023-12-26
48,User_48,user48@mail.com,Quetta,2023-11-28
49,User_49,user49@mail.com,Karachi,2023-11-08
50,User_50,user50@mail.com,Quetta,2023-03-29
